symbol	prev_close	prev_low	curr_open	curr_low	curr_close	volume	percent_gain	pe_ratio
PAYTM.NS	1147.35	1142.50	1084.95	1051.10	1132.05	21682253	4.34	
BANDHANBNK.NS	174.67	168.80	174.60	174.07	181.87	14244510	4.16	28.83
RELIANCE.NS	1327.80	1325.00	1313.00	1311.00	1365.80	24673098	4.02	22.80
IEX.NS	123.23	122.34	123.19	122.38	126.45	13224493	2.65	22.86
MFSL.NS	1587.30	1566.60	1580.10	1579.50	1603.00	555511	1.45	386.09
MGL.NS	1130.15	1123.55	1127.00	1124.50	1141.80	125250	1.31	11.97
360ONE.NS	1039.60	1030.20	1034.90	1025.00	1042.05	592351	0.69	35.82
AXISBANK.NS	1365.90	1350.00	1325.00	1299.90	1324.20	10768267	-0.06	15.56
TATACONSUM.NS	1174.00	1162.00	1168.00	1155.00	1160.50	1019797	-0.64	77.86
AUBANK.NS	1065.65	1047.25	1057.00	1028.00	1043.00	1933016	-1.32	34.31
RBLBANK.NS	321.40	307.70	318.00	306.10	312.80	12137009	-1.64	22.16
