Symbol	Prev Close	Prev Low	Curr Open	Curr Low	Curr Close	Volume	% Gain	P/E Ratio
HAVELLS.NS	427.55	426.40	427.00	424.20	442.85	4983325	3.71	55.24
DALBHARAT.NS	427.55	426.40	427.00	424.20	442.85	4983325	3.71	31.15
GODREJPROP.NS	427.55	426.40	427.00	424.20	442.85	4983325	3.71	33.44
FEDERALBNK.NS	427.55	426.40	427.00	424.20	442.85	4983325	3.71	17.79
GODREJCP.NS	427.55	426.40	427.00	424.20	442.85	4983325	3.71	62.12
GRANULES.NS	427.55	426.40	427.00	424.20	442.85	4983325	3.71	29.16
M&MFIN.NS	557.95	554.25	556.95	548.00	562.00	3333771	0.91	16.89
MGL.NS	557.95	554.25	556.95	548.00	562.00	3333771	0.91	11.67
ATGL.NS	1829.90	1823.00	1828.80	1811.70	1838.90	487836	0.55	108.75
BANDHANBNK.NS	1829.90	1823.00	1828.80	1811.70	1838.90	487836	0.55	27.92
BAJFINANCE.NS	1829.90	1823.00	1828.80	1811.70	1838.90	487836	0.55	31.35
ABCAPITAL.NS	1829.90	1823.00	1828.80	1811.70	1838.90	487836	0.55	25.63
ASTRAL.NS	1829.90	1823.00	1828.80	1811.70	1838.90	487836	0.55	85.46
ASIANPAINT.NS	1829.90	1823.00	1828.80	1811.70	1838.90	487836	0.55	61.35
AUROPHARMA.NS	1829.90	1823.00	1828.80	1811.70	1838.90	487836	0.55	23.10
BANKBARODA.NS	279.39	277.04	279.00	276.43	280.44	6831951	0.52	7.45
