symbol	prev_close	prev_low	curr_open	curr_low	curr_close	volume	percent_gain	pe_ratio
DABUR.NS	427.55	426.40	427.00	424.20	442.85	4983325	3.71	42.54
SONACOMS.NS	580.85	577.70	578.00	573.35	593.85	2982180	2.74	60.23
GODREJCP.NS	1081.15	1074.65	1080.00	1069.25	1109.40	1720077	2.72	62.12
JSWSTEEL.NS	1214.90	1211.30	1213.00	1198.60	1240.30	1875945	2.25	40.81
MOTHERSON.NS	122.82	122.26	122.50	120.81	125.03	18007178	2.07	38.59
TECHM.NS	1491.00	1479.50	1486.00	1474.90	1511.40	1859402	1.71	28.99
DRREDDY.NS	1221.40	1214.10	1215.20	1212.40	1235.70	2564061	1.69	18.21
NATIONALUM.NS	432.70	426.00	432.00	422.55	438.75	8471986	1.56	13.12
SHRIRAMFIN.NS	1022.75	1015.35	1022.00	1013.15	1036.95	4345572	1.46	21.32
SBIN.NS	1067.15	1062.00	1067.00	1060.00	1080.25	16823879	1.24	11.76
HINDPETRO.NS	370.25	365.75	367.00	364.80	370.85	6278506	1.05	5.13
CHOLAFIN.NS	1569.90	1558.00	1564.00	1542.40	1579.00	1168171	0.96	27.47
ICICIPRULI.NS	557.95	554.25	556.95	548.00	562.00	3333771	0.91	50.77
BAJAJFINSV.NS	1829.90	1823.00	1828.80	1811.70	1838.90	487836	0.55	30.67
BANKBARODA.NS	279.39	277.04	279.00	276.43	280.44	6831951	0.52	7.45
